subset,algorithm,image,psnr,ssim,entropy,edge_vis,niqe,time_ms
indoor,DCP,1401_7.png,20.293434747720266,0.8482232689857483,7.492507525433315,0.3676297335203366,,45.85687799999505
indoor,DCP-Improved,1401_7.png,20.68179915824583,0.8320857882499695,7.716391831501733,0.4009396914446003,,114.73698700001478
indoor,DCP,1401_8.png,20.153339103039762,0.8417914509773254,7.4888638517226145,0.3660694249649369,,47.668058999988716
indoor,DCP-Improved,1401_8.png,20.180905876348753,0.8267456889152527,7.713999061933973,0.39766830294530153,,114.69284300005711
indoor,DCP,1401_9.png,20.035689857663176,0.8356461524963379,7.488123026675657,0.36408134642356244,,45.92462699997668
indoor,DCP-Improved,1401_9.png,19.69376948582004,0.8224384188652039,7.713776326132497,0.3951227208976157,,127.70833699994455
indoor,DCP,1402_1.png,23.077034728270398,0.8708860278129578,6.696365347054895,0.3302594670406732,,46.792155999924034
indoor,DCP-Improved,1402_1.png,25.020832425716314,0.8537253737449646,6.7543361855113675,0.35345722300140253,,117.88995599999907
indoor,DCP,1402_10.png,22.62488107354629,0.8029459118843079,7.116810516185291,0.3342882187938289,,46.59824699990622
indoor,DCP-Improved,1402_10.png,21.269718155440312,0.7829132676124573,7.028040311308161,0.3362798036465638,,128.33933399997477
indoor,DCP,1402_2.png,23.187320499679892,0.8629449009895325,6.702840185320038,0.33135694249649367,,46.48643500001981
indoor,DCP-Improved,1402_2.png,24.89172833116929,0.8451678156852722,6.757797365029097,0.35211430575035063,,113.65485000010267
indoor,DCP,1402_3.png,23.27407379691936,0.8551618456840515,6.715725702974286,0.3320126227208976,,44.627953000031084
indoor,DCP-Improved,1402_3.png,24.720302500454512,0.8370182514190674,6.7713226618808,0.3503015427769986,,111.60471400000915
indoor,DCP,1402_4.png,23.321921376332824,0.8477723598480225,6.725936984781133,0.33205820476858344,,46.086153999908674
indoor,DCP-Improved,1402_4.png,24.488854151331132,0.8293874859809875,6.787575273981085,0.34936185133239833,,115.31778799997028
indoor,DCP,1402_5.png,23.335766744542337,0.8404797911643982,6.737601323041474,0.33244039270687237,,46.2297370000897
indoor,DCP-Improved,1402_5.png,24.18082580644957,0.8218271136283875,6.805168408654428,0.34812412342215987,,120.03928199999336
indoor,DCP,1402_6.png,23.30149468216983,0.8334636688232422,6.748295613028443,0.33181977559607295,,46.061868000037975
indoor,DCP-Improved,1402_6.png,23.768819368831767,0.8144934773445129,6.823435715855482,0.3454873772791024,,114.57687199992961
indoor,DCP,1402_7.png,23.04676853139774,0.8239684104919434,7.045760675621264,0.3317461430575035,,45.69856600005551
indoor,DCP-Improved,1402_7.png,23.23929152708626,0.8066954612731934,6.851107919402952,0.34373422159887795,,115.30192199995781
indoor,DCP,1402_8.png,22.94014967088934,0.8164894580841064,7.075947716142355,0.33332748948106594,,46.438905000059094
indoor,DCP-Improved,1402_8.png,22.653948316171277,0.7985077500343323,6.927353860404852,0.34098877980364656,,115.58414900002845
indoor,DCP,1402_9.png,22.803251629439238,0.8095957636833191,7.101013227742179,0.3341900420757363,,47.24892299998373
indoor,DCP-Improved,1402_9.png,21.983397776304578,0.7908563613891602,6.982357874893984,0.33887447405329596,,111.9210250000151
indoor,DCP,1403_1.png,26.290177305686726,0.8972521424293518,6.899362262774839,0.43529803646563814,,46.47079500000473
indoor,DCP-Improved,1403_1.png,21.232540886043957,0.8149906992912292,7.003665073384616,0.46930575035063116,,113.79000700003417
indoor,DCP,1403_10.png,20.316269408540066,0.8058250546455383,7.060909868297472,0.44023141654978964,,45.26740799997242
indoor,DCP-Improved,1403_10.png,12.387846524241247,0.6606727242469788,7.363268796758665,0.5234116409537167,,114.60594699997273
indoor,DCP,1403_2.png,25.791653909226756,0.8865609169006348,6.925112248888021,0.4373422159887798,,45.95603600000686
indoor,DCP-Improved,1403_2.png,20.09428135213394,0.7994073033332825,7.029636293609149,0.47197755960729315,,116.873078000026
indoor,DCP,1403_3.png,25.118385638346112,0.8744791150093079,6.940354993204375,0.4390322580645161,,46.26771900007043
indoor,DCP-Improved,1403_3.png,19.055216549681187,0.7845656275749207,7.0625310074162995,0.4753997194950912,,115.55642300004365
indoor,DCP,1403_4.png,24.455350855669998,0.8644752502441406,6.964772002535037,0.4407152875175316,,46.17969199989602
indoor,DCP-Improved,1403_4.png,18.105636359163594,0.7703847289085388,7.093194266323278,0.4775946704067321,,116.26950599998054
indoor,DCP,1403_5.png,23.752222818767077,0.8538125157356262,6.976622327340672,0.4399193548387097,,46.22347500003343
indoor,DCP-Improved,1403_5.png,17.215328058779306,0.7565547823905945,7.110428966504924,0.4781521739130435,,115.52870899993195
indoor,DCP,1403_6.png,23.038334155937594,0.8432058691978455,6.989203412482607,0.4393653576437588,,47.15687899999921
indoor,DCP-Improved,1403_6.png,13.525836007497997,0.6746485829353333,7.291649773239476,0.5523527349228612,,115.7630349999863
indoor,DCP,1403_7.png,22.325466476552634,0.8339686989784241,7.014480219409422,0.4407924263674614,,45.66804700004923
indoor,DCP-Improved,1403_7.png,13.243456657686373,0.6709985136985779,7.299697739248223,0.5447019635343618,,113.8377769999579
indoor,DCP,1403_8.png,21.66495238871025,0.8240920901298523,7.02143335566032,0.439929873772791,,45.12491700006649
indoor,DCP-Improved,1403_8.png,12.946196398740902,0.6669139862060547,7.3158910299586735,0.5383976157082749,,114.80881299996781
indoor,DCP,1403_9.png,20.9694375272031,0.815314531326294,7.04602744992607,0.4404663394109397,,48.22176200002559
indoor,DCP-Improved,1403_9.png,12.660565037974935,0.6636649370193481,7.337770765723885,0.5308029453015428,,119.27853700001378
indoor,DCP,1404_1.png,21.554261059799828,0.9171488881111145,6.875464751234105,0.3573527349228611,,46.38284699990436
indoor,DCP-Improved,1404_1.png,24.752653775971783,0.9417769908905029,6.86571970191943,0.36299789621318374,,116.0613629999716
indoor,DCP,1404_10.png,21.977245999058486,0.90103679895401,7.0056820362688645,0.3543232819074334,,45.888869000009436
indoor,DCP-Improved,1404_10.png,23.44293146172464,0.920195996761322,6.982183581453618,0.33953015427769984,,108.33151400004226
indoor,DCP,1404_2.png,21.674753353916362,0.9166166186332703,6.871877723856195,0.35692145862552593,,46.09568199998648
indoor,DCP-Improved,1404_2.png,24.913575545211096,0.9403896927833557,6.861487440067044,0.3621528751753156,,115.6677750000199
indoor,DCP,1404_3.png,21.78533154116534,0.9158658981323242,6.864696871575321,0.3563429172510519,,48.2258089999732
indoor,DCP-Improved,1404_3.png,25.018047526705914,0.9387645721435547,6.85484239661787,0.3610974754558205,,116.06239499997173
indoor,DCP,1404_4.png,21.70380242123081,0.9119938015937805,7.192373062462799,0.35687237026647967,,45.73359400001209
indoor,DCP-Improved,1404_4.png,25.03680425561244,0.936777651309967,6.871056468991239,0.36005960729312764,,114.8762400000578
indoor,DCP,1404_5.png,21.8032473109703,0.910295307636261,7.203690719958985,0.35785413744740535,,46.2998199999447
indoor,DCP-Improved,1404_5.png,24.93383671746216,0.9344062805175781,6.9302752277707595,0.3582608695652174,,115.1243900000054
indoor,DCP,1404_6.png,21.876132902090962,0.9083438515663147,7.168297248820999,0.35828892005610097,,46.43242200006625
indoor,DCP-Improved,1404_6.png,24.63532569172097,0.9310489296913147,7.033162687243122,0.3567215988779804,,117.03828099996372
indoor,DCP,1404_7.png,21.9503565289195,0.9067719578742981,7.098406787618139,0.35765778401122017,,46.46277999995618
indoor,DCP-Improved,1404_7.png,24.0259155944305,0.926173210144043,7.006905916030562,0.34529102384291727,,108.34694200002559
indoor,DCP,1404_8.png,21.98650028956755,0.9047255516052246,7.044256285023153,0.3571704067321178,,46.22630100004699
indoor,DCP-Improved,1404_8.png,24.03861868935921,0.9249785542488098,6.9912949979130445,0.3439831697054698,,108.1844689999798
indoor,DCP,1404_9.png,21.997362704769465,0.9029991626739502,7.0098311753217715,0.35561360448807855,,46.302845000013804
indoor,DCP-Improved,1404_9.png,23.841982298567437,0.922928512096405,6.980852793491155,0.3418197755960729,,108.10127700005978
outdoor,DCP,0001_0.8_0.2.jpg,15.940837630004747,0.8928690552711487,7.332534218940773,0.5375346687211094,,28.555663000020104
outdoor,DCP-Improved,0001_0.8_0.2.jpg,19.070082706760665,0.9017845988273621,7.571903710653978,0.5954919656614572,,81.5422389999867
outdoor,DCP,0002_0.8_0.08.jpg,14.623281331545561,0.785548210144043,7.286709980663312,0.5249702839533348,,28.748097999937272
outdoor,DCP-Improved,0002_0.8_0.08.jpg,16.910250112161027,0.869102954864502,7.402744765453165,0.5405767114241691,,87.0242660000713
outdoor,DCP,0003_0.8_0.2.jpg,17.182476063675942,0.8553848266601562,7.15583791858033,0.2850603118564284,,20.891348999953152
outdoor,DCP-Improved,0003_0.8_0.2.jpg,14.951569499790267,0.7885602116584778,7.441172975791579,0.4467431597528685,,60.367962999976044
outdoor,DCP,0004_0.9_0.12.jpg,13.753513703323748,0.8766655921936035,7.483363933345165,0.6525687871450583,,28.85053299996798
outdoor,DCP-Improved,0004_0.9_0.12.jpg,18.009590724545514,0.833760678768158,7.558267787566603,0.816962359674224,,82.22886399994422
outdoor,DCP,0006_0.85_0.08.jpg,13.603991057786722,0.8631930351257324,7.597605227203057,0.5184107418005723,,28.615155000011328
outdoor,DCP-Improved,0006_0.85_0.08.jpg,16.650430654518164,0.8789160847663879,7.835892829051163,0.6114505833149901,,89.21051200002239
outdoor,DCP,0007_0.9_0.16.jpg,16.49916268921853,0.8417332768440247,6.975677688039972,0.45770833333333333,,30.864790000009634
outdoor,DCP-Improved,0007_0.9_0.16.jpg,19.462782484718847,0.8997580409049988,6.993857793695524,0.42946003401360544,,91.89595399993777
outdoor,DCP,0009_0.8_0.16.jpg,18.429458491822277,0.8839423060417175,7.1907637633735195,0.6268545014307726,,28.90846299999339
outdoor,DCP-Improved,0009_0.8_0.16.jpg,17.670061842091883,0.8292091488838196,7.331324305977225,0.7057274928461369,,81.92485600000055
